x,y,thetha
-2442.895752,533.824707,-0.009147969096293762
-2442.797852,533.987732,-0.007695083042119926
-2442.833252,534.009949,-0.006682434573211135
-2442.82959,534.01001,-0.006503306510386782
-2442.715332,534.551453,-0.011253385319076447
-2440.869141,540.143066,-0.02595798642911279
-2438.418945,542.033142,-0.007527224142442398
-2438.090332,542.192017,-0.006214020019930132
-2437.742188,547.80957,-0.003124541706657245
-2434.893555,589.967163,0.0031247417903526456
-2432.998535,618.882507,-0.0028967641400685523
-2431.636719,644.182434,-0.006103271488062748
-2431.649902,658.155212,-0.011935295631525608
-2432.265869,667.321838,-0.0172297818549279
-2432.694336,668.382141,-0.018638811248818856
-2432.883301,668.544128,-0.017808310160257676
-2433.202393,669.032776,-0.014720712065685279
-2433.718018,669.936462,-0.011568873555352726
-2434.562744,670.280457,-0.020501859551456662
-2434.423828,670.327454,-0.025704996739720237
