x,y,thetha
-2392.128906,544.683228,3.1289761031848387
-2392.096924,544.7771,3.1290929353229577
-2391.086426,543.696655,3.121622262520608
-2391.530273,543.639465,3.1242891127173644
-2391.646484,543.609985,3.1249110386108407
-2391.667725,543.5849,3.1253042500588197
-2392.060791,547.217651,3.13474794975074
-2389.331787,549.386475,3.1248618983823575
-2387.171387,547.742249,3.120963577882827
-2387.107666,546.510498,3.1179940770175842
-2386.336914,548.643982,3.1191571592966696
-2357.242676,579.553345,3.11917217451303
-2317.43042,597.933044,3.121487965047026
-2272.020752,608.01886,3.1244638964530633
-2236.825195,604.612976,3.131902655773495
-2206.63501,598.488098,3.1320062984468757
-2195.696045,596.197388,3.1393048541025634
-2192.718018,601.413086,3.1344298590547726
-2194.811523,601.276917,3.1414921921683963
-2195.291992,598.94043,-3.132658707064407
