x,y,thetha
-2427.717529,524.950134,-0.010576117037147066
-2427.801758,525.080444,-0.004912580770995684
-2427.498779,524.51239,-0.009096655974532518
-2427.7854,524.519592,-0.0054579184156475025
-2427.768555,524.567627,-0.005550050922163267
-2427.753418,524.58252,-0.0059321606258510694
-2427.469971,526.558105,0.0004201869909993285
-2425.601562,530.291138,-0.0007926774525559839
-2424.372559,530.027832,-0.025608627023224143
-2423.44873,529.119324,-0.04665744562307369
-2423.439941,529.536072,-0.048034038038896144
-2421.015625,562.559753,-0.060329229451978515
-2419.145996,590.54364,-0.06493196884901509
-2417.768799,615.65564,-0.06280596891570735
-2416.937012,637.844116,-0.06370188311276033
-2417.308594,646.58783,-0.040685291435414106
-2417.472656,655.016113,-0.036332752974340486
-2417.817627,658.703796,-0.010645813914474032
-2418.384766,658.389038,-0.011011391537585635
-2418.031006,659.905945,-0.0009615158506241934
