x,y,thetha
-2442.661621,534.042908,-0.011039711784030945
-2442.644775,534.022217,-0.010602903935974295
-2442.37207,534.512695,-0.015059514257972414
-2442.607178,534.479187,-0.011363154544384309
-2442.586426,534.507507,-0.011182801842891584
-2442.585205,534.498169,-0.011569082113292708
-2442.543945,534.82666,-0.013725795921857317
-2441.062256,539.854858,-0.021964799485269706
-2439.53125,542.222107,-0.014978223476661341
-2437.874512,542.515381,-0.0056460585481056015
-2437.936768,542.686462,-0.005312036003722889
-2416.441406,573.364868,0.0009414546859191841
-2379.400391,598.297913,0.009901518377778641
-2335.037109,615.110291,0.009530009930110283
-2292.84375,619.036865,0.010085653273792867
-2265.023438,617.43927,0.006852873057038078
-2243.563232,610.113892,0.0052504761707567
-2242.906982,609.89801,-0.003254549068333379
-2242.941895,610.030457,-0.0037622872985174443
-2242.760986,610.292236,0.01650692507123564
