x,y,thetha
-2442.637207,534.634094,-0.010254548807150031
-2442.671631,534.625854,-0.010166845374226624
-2442.701172,534.620911,-0.010174800416410825
-2442.705322,534.623596,-0.00948536800684077
-2442.640381,536.286865,-0.01719171120530629
-2440.894531,540.158875,-0.019933260616043474
-2439.564453,542.291321,-0.011309874476431584
-2438.049561,542.625122,-0.0021513342729610873
-2438.043457,542.614807,-0.0020865490552262732
-2428.332031,556.475098,-0.009261683930008539
-2397.534912,588.462891,0.008325430685851088
-2361.061279,606.55481,0.00940790158837692
-2319.175293,619.17218,0.011972893536410017
-2287.759277,617.591675,0.010636966158777277
-2263.06665,616.90332,0.005282611774844656
-2243.928223,610.438782,0.011446317584352257
-2242.798584,610.032104,-0.0032056966336507877
-2242.844238,610.086365,-0.0035979414464978017
-2242.500488,609.972168,0.002540834748722325
-2242.293457,610.322021,0.00599493070211085
