x,y,thetha
-2392.230957,544.884094,3.128355807474432
-2392.067627,544.8302,3.1288087449905824
-2392.094238,544.802063,3.1289939291077755
-2392.116455,544.820312,3.128471102975116
-2392.098877,544.836487,3.1287841591937577
-2392.1521,544.822205,3.1282999935648697
-2392.084717,544.851318,3.1286253915980824
-2392.111816,544.879578,3.128120055609047
-2392.179443,544.198303,3.1288539690503696
-2392.351318,544.178833,3.128906263654515
-2390.575439,549.845032,3.129969724155927
-2387.594971,547.633545,3.124583025560909
-2410.449463,563.963684,3.1232873344048135
-2532.459229,581.320312,3.1157346673762847
-2597.983398,572.157104,3.110988178327682
-2596.151367,570.451782,3.0987642552008237
-2597.105957,571.073792,3.1020213911841483
-2597.020508,570.913879,3.1013880411577954
-2596.946045,571.076172,3.100986501294063
-2596.983154,570.956909,3.101569190279089
