x,y,thetha
-2391.96167,544.758423,3.1290832608077936
-2392.115234,544.825134,3.1264594143830404
-2390.787598,543.60376,3.1164101301855602
-2391.349854,543.354492,3.1231186722676023
-2391.533936,543.384949,3.123731110813109
-2391.451416,543.350342,3.123624141602403
-2390.859863,546.52124,3.1279655828665858
-2388.539307,547.795776,3.1223007286030713
-2386.852783,546.392578,3.118376884094113
-2379.516357,557.740601,3.120413605395868
-2340.901367,588.575073,3.1209821044718282
-2290.170166,604.976013,3.121537172738429
-2242.606689,605.115112,3.127848546993028
-2207.403809,598.511902,3.1307234363676555
-2195.168701,600.218201,-3.13023093118472
-2193.385986,597.329102,3.1280202075774683
-2194.481445,598.754639,-3.1412022563869715
-2193.653809,598.417358,3.1372908156870967
-2193.999268,598.73291,3.140020746369235
-2194.062744,598.699951,3.1397183818183634
