x,y,thetha
-2391.914062,544.578918,3.125267556157368
-2391.25415,543.886414,3.122946327717983
-2391.602783,543.702698,3.1256816785182844
-2391.667236,543.757019,3.125480373499807
-2391.698242,543.735474,3.1260222137951605
-2392.177979,547.895447,3.1325933939909945
-2389.560303,548.687012,3.1250830181085796
-2387.374268,546.487793,3.1219826162326503
-2387.399414,546.310059,3.1231964245080306
-2387.045654,550.907043,3.117225475073002
-2384.296631,589.617188,3.116011822271314
-2382.642822,616.852051,3.117918036853567
-2381.690918,641.833069,3.1171568341238793
-2381.021973,660.979065,3.111640025837311
-2381.182373,669.572327,3.1143526007659457
-2381.013428,672.427063,3.112379215695614
-2383.179443,682.863159,3.1349454809999195
-2382.75,681.981079,3.1324672275570036
-2380.895752,680.613647,3.124625881716475
-2381.022949,679.93042,3.1234520940946
