x,y,thetha
-2426.732178,523.653687,-0.010115760340112068
-2427.12793,524.278442,-0.004937434185161468
-2427.163818,524.345581,-0.006167322431961237
-2427.213379,524.356873,-0.006565171883785779
-2427.166016,524.302185,-0.0031428089576732354
-2427.120361,528.82489,0.013916238250432584
-2425.225098,530.054321,-0.007735816426167501
-2423.058838,529.282898,-0.03628548613868896
-2423.051025,528.993225,-0.04198795769333016
-2422.649658,530.770325,-0.04900012294485833
-2397.531006,562.592896,-0.07113810245896021
-2363.339355,583.378052,-0.06914836169787504
-2323.906006,597.590454,-0.07375568450747245
-2285.377686,601.362366,-0.07647679428448237
-2259.547852,599.937866,-0.05596048947246247
-2235.835938,590.554016,-0.047232025374974146
-2235.306396,596.408325,0.013388716235672784
-2235.427979,596.186157,0.00921887062377091
-2235.195068,596.211792,0.009460237661562492
-2235.16748,596.080872,0.008688788808013066
