x,y,thetha
-2427.233398,524.406677,-0.00966364289048909
-2427.706543,525.172729,-0.007982794594364635
-2427.743408,525.175049,-0.006991803757842614
-2427.784668,525.241821,-0.0030682716929191544
-2427.758057,525.2146,-0.0032778056660203833
-2427.726562,525.223511,-0.00263958442931279
-2427.655762,529.450684,0.01808960115847675
-2425.740234,531.088623,0.0004953655276487173
-2424.666504,530.858093,-0.018922992014461876
-2423.684082,530.112488,-0.04027136404228938
-2423.8479,530.115723,-0.040180994769355424
-2454.536865,548.825256,-0.062237252656198894
-2512.467529,559.013184,-0.05912487649330696
-2560.338623,552.363953,-0.04553627034988644
-2598.562988,540.673462,-0.03348519650473524
-2618.64624,535.470764,-0.02433074253467283
-2617.528564,534.333496,-0.02895969607976196
-2617.711426,534.398926,-0.027175894395025445
-2617.905029,535.355774,-0.024599247983170588
-2617.760742,534.895752,-0.02744075048531238
