x,y,thetha
-2427.246094,524.935364,-0.004267874897322409
-2427.699219,525.571472,-0.005514684436252269
-2427.746338,525.586914,-0.005079281527737894
-2427.88501,525.608032,-0.0038882750000884337
-2427.911865,525.603149,-0.003525022987817473
-2427.914551,525.613342,-0.0032110668925355765
-2427.536865,530.171265,0.02122483601855358
-2425.780518,531.986511,0.010480342658500227
-2424.702881,531.819885,-0.012267040375299167
-2423.662354,531.01947,-0.03227064049027058
-2423.910889,531.183167,-0.03303407666900533
-2458.568604,551.1922,-0.05478557129437386
-2518.987061,559.89032,-0.05473022419402128
-2565.56543,552.305969,-0.03935912085467237
-2605.940918,538.175903,-0.028630766820345106
-2618.959229,535.874268,-0.01964185956963041
-2618.108643,535.764099,-0.024369800043464805
-2618.266602,535.992004,-0.02360269231997859
-2618.140625,535.87677,-0.024076886260699006
-2618.074951,535.826294,-0.02469031244627844
