x,y,thetha
-2392.283447,545.016602,3.1275175258427304
-2391.984375,544.288452,3.1270043187600596
-2392.237793,544.315186,3.1279988372683114
-2392.279053,544.310852,3.128378689877082
-2392.245605,544.299805,3.1284728766411107
-2392.236084,549.394958,3.1303528839756583
-2389.766113,549.543335,3.1272908841763587
-2387.876221,547.483704,3.1237369926254552
-2387.837646,547.415527,3.123507873864394
-2416.865234,567.103882,3.117749700649161
-2492.601318,584.269531,3.116396130089952
-2550.675537,578.54895,3.112475843287607
-2594.899902,563.281982,3.1056427601293084
-2598.519775,573.97937,3.1061259971659756
-2595.769531,568.920898,3.100876157138855
-2593.63208,569.609924,3.0904268113058992
-2596.431396,570.372559,3.1072124173049662
-2596.318604,570.122253,3.103254043698509
-2596.250732,570.261902,3.1032749563080895
-2596.257568,570.299438,3.1028766908864758
