x,y,thetha
-2391.524902,544.196228,3.1262537673249122
-2391.619873,543.401855,3.1249760065830317
-2392.070312,543.142334,3.1258568163643794
-2391.882324,543.174438,3.125380679456536
-2392.288818,548.350342,3.1331181092153533
-2389.527344,547.571411,3.121639591223421
-2387.674072,545.725159,3.1209187313036
-2387.615723,545.773315,3.121414876035804
-2385.627441,575.919189,3.1210692448601214
-2383.015625,609.228821,3.113102619990665
-2381.783447,637.730286,3.113815708441335
-2380.868896,660.49939,3.1123615271103944
-2381.275146,670.173218,3.114604048120122
-2381.78418,673.773132,3.116475859243405
-2381.378906,681.378845,3.125676167487268
-2382.07666,679.801086,3.1291821461641023
-2382.658203,680.397949,3.1332984183686645
-2380.972168,679.711304,3.125287850756636
-2381.18457,679.811218,3.1269710810642346
-2381.171387,679.824707,3.1266280606146495
