x,y,thetha
-2442.245117,534.32605,-0.01252562229899057
-2442.448242,534.390137,-0.010059458201079188
-2442.446289,534.390137,-0.009808518315551691
-2442.479492,534.39447,-0.009671825311889919
-2442.486084,534.391113,-0.009534046542275326
-2442.111084,537.147766,-0.01341007669433905
-2440.134277,541.639893,-0.017328261161113974
-2437.917236,542.514771,-0.00662012922287325
-2437.835938,542.542053,-0.006361008971169168
-2437.636475,545.802246,-0.005752891594200891
-2435.05542,583.100037,0.005249806188593656
-2433.491455,608.084717,-0.0008563733743746065
-2432.207764,631.058533,0.0018529245818128255
-2431.314941,651.481628,-0.011596065690995626
-2431.657715,658.746826,-0.015678418305429487
-2431.985596,667.651428,-0.015540106859420108
-2432.66333,668.808533,-0.021770210398914712
-2432.703613,668.814514,-0.021564263926947425
-2432.884766,668.905884,-0.022004779946605067
-2432.995361,668.91925,-0.022195208109865344
