x,y,thetha
-2427.266113,524.275024,-0.0060204754836844605
-2427.345703,524.126343,-0.006043518007522266
-2427.098633,523.838257,-0.01015975066529105
-2427.171875,523.985168,-0.00823913287028509
-2427.162598,523.980347,-0.008475009309448524
-2427.345215,523.994202,-0.006979469917713745
-2427.370361,524.002808,-0.011687163502870884
-2426.48584,528.478455,0.003000858889192849
-2424.964355,529.475098,-0.02626825886037185
-2423.216553,528.550049,-0.048993160233841475
-2423.180664,528.825684,-0.04861839566890173
-2400.161377,560.026001,-0.06721999946580068
-2363.320068,583.19043,-0.07029889769149218
-2319.078369,598.492371,-0.07183625138454473
-2280.973145,599.583557,-0.06919605295039702
-2253.679199,598.383362,-0.059364528434091124
-2234.411621,594.902222,0.013519116671934474
-2233.617432,595.76239,0.016499791032277732
-2234.143066,595.360229,0.013681921139797635
-2233.97876,595.313293,0.012349490517964535
