x,y,thetha
-2442.565918,533.666565,-0.012347716430628776
-2442.835938,533.620178,-0.012391917853657215
-2443.147705,533.917664,-0.006170449492635418
-2443.148438,533.924072,-0.006102077246180612
-2443.133057,533.907166,-0.0055069652403651305
-2443.143066,533.936401,-0.005812803895079028
-2442.670654,535.929199,-0.020794097103072506
-2441.110596,539.886902,-0.024137781437767215
-2439.688721,541.766907,-0.014631349876560975
-2438.359619,542.043091,-0.0051798106942058265
-2438.585449,542.410583,-0.004724083855723274
-2477.710205,563.526611,0.005828972576364459
-2544.372314,568.247986,0.010319968120423639
-2591.676758,555.954102,0.003191163372831869
-2633.919678,535.64563,-0.009964180890010001
-2636.537354,535.389221,-0.03730972493329719
-2636.58667,535.398865,-0.038159358002394485
-2636.662842,535.4328,-0.036944436827923414
-2636.726807,535.427673,-0.03749448321804114
-2636.707764,535.535767,-0.03739771265784633
