x,y,thetha
-2442.524658,533.909546,-0.010060379892280596
-2442.797607,533.934143,-0.007648501768829085
-2442.933105,533.942261,-0.005196211601899091
-2443.000244,533.976013,-0.00577884385363463
-2443.000732,533.963501,-0.0059396741583442325
-2442.999756,533.956238,-0.006033187664028132
-2442.946289,534.276917,-0.0073547855905558256
-2441.410889,538.701721,-0.0262732790321199
-2440.041992,541.496521,-0.014923824708151835
-2438.240723,542.079651,-0.007845161943057143
-2438.250977,542.097778,-0.007733422862101945
-2455.976318,553.96698,-0.0025078459991703934
-2513.729004,569.026733,0.009018680351327194
-2570.903564,561.138428,-0.0025181975606187157
-2608.846191,549.636292,-0.0007474088490859932
-2636.922363,535.138367,-0.030280168389326914
-2636.568604,535.352661,-0.03773548844252463
-2636.630615,535.370911,-0.037756913721082204
-2636.857178,535.457703,-0.03778956652657827
-2636.786133,535.249084,-0.03587211722116518
