x,y,thetha
-2442.636719,534.374329,-0.012668509166973083
-2443.003906,534.31073,-0.007979029122251713
-2442.929199,534.372864,-0.007524807655125004
-2442.987061,534.358398,-0.007766386272593544
-2442.978027,534.339111,-0.0075901919835146625
-2442.955078,534.356445,-0.007895666890236368
-2442.65918,536.826477,-0.022994901141845377
-2440.828125,540.493225,-0.022917216892135425
-2439.686523,542.063599,-0.014315920761827446
-2438.328613,542.369568,-0.005984932268255443
-2438.307861,542.387634,-0.006125450370770823
-2463.646729,558.784485,0.004244361206050083
-2520.594238,569.533997,0.011331904309150754
-2573.432617,560.707458,-0.0004862330413130294
-2610.112793,549.306519,-0.002330162164796424
-2637.275635,535.408203,-0.031326426838232065
-2636.864746,535.67395,-0.0390812976802251
-2636.913818,535.741333,-0.039171558800142815
-2636.942627,535.799866,-0.03868168952352136
-2636.960938,535.732178,-0.03760742286979738
