x,y,thetha
-2427.596924,524.49762,-0.010743387941389276
-2427.701172,524.28064,-0.01237483413913991
-2427.664062,524.300842,-0.013744656145254728
-2428.001465,524.209778,-0.012387681892374994
-2428.233643,524.086487,-0.008139955586796572
-2427.701904,526.748291,-0.0005292252853777976
-2425.421631,529.611938,-0.021416599269406936
-2423.384277,528.734558,-0.050150995449363536
-2423.379883,528.660156,-0.05057627038633862
-2422.866699,536.214111,-0.05115963944892885
-2420.214844,573.849365,-0.06965315379713607
-2418.651123,599.56958,-0.06351497913631911
-2417.632324,622.865479,-0.05995934629126182
-2416.926514,642.692993,-0.06074428763576772
-2417.214355,649.829285,-0.04800856771154153
-2417.520752,654.497375,-0.038870412962877965
-2419.056396,659.824341,0.0034773179983940993
-2418.176758,660.23291,-0.0014962379274499312
-2418.015137,660.082397,-0.0020164092975270575
-2418.015381,660.025757,-0.0045539842178971895
